"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.222630083E0,-1.283880157E0,2.101629639E0,8.756041718E0
1.232579083E0,-1.335073700E0,1.954335938E0,8.961564331E0
1.242527083E0,-1.446741486E0,1.994452515E0,9.146130524E0
1.252476083E0,-1.410816193E0,2.089504852E0,9.586065674E0
1.262425083E0,-1.182091827E0,2.383493500E0,1.064391586E1
1.272373083E0,-9.243278503E-1,2.659070435E0,1.181073944E1
1.282322083E0,-6.685098267E-1,2.604134674E0,1.262639328E1
1.292271083E0,-4.662803650E-1,2.428998871E0,1.315883606E1
1.302219083E0,-4.399351501E-1,2.104623413E0,1.317155960E1
1.312168083E0,-6.396199036E-1,1.862726440E0,1.272818161E1
1.322117083E0,-9.704319763E-1,1.709295502E0,1.194695618E1
1.332065083E0,-1.340911560E0,1.676962738E0,1.133637589E1
1.342014083E0,-1.570833435E0,1.713187408E0,1.074480606E1
1.351962083E0,-1.684746552E0,1.679357758E0,9.956096191E0
1.361911083E0,-1.773811340E0,1.649569702E0,9.073681183E0
1.371860083E0,-1.844314728E0,1.714983673E0,8.333021393E0
1.381809083E0,-1.956281891E0,1.861678619E0,7.986492004E0
1.391757083E0,-1.838177490E0,1.837728424E0,7.998616791E0
1.401706083E0,-1.846260681E0,2.077380066E0,8.170908508E0
1.411654083E0,-1.895807648E0,2.313139801E0,8.611143036E0
1.421603083E0,-1.373394012E0,2.428699493E0,9.048084412E0
1.431552083E0,-6.915618896E-1,2.427951050E0,9.309590607E0
1.441500083E0,-1.698966980E-1,2.296823730E0,9.556127930E0
1.451449083E0,1.538800049E-1,2.123184814E0,1.013078293E1
1.461398083E0,2.788700867E-1,1.856888580E0,1.109343109E1
1.471346083E0,3.088078308E-1,1.602268066E0,1.191821594E1
1.481295083E0,3.083587646E-1,1.380429382E0,1.234348160E1
1.491244083E0,2.604583740E-1,1.191073151E0,1.248359024E1
1.501192083E0,1.073268127E-1,1.065184937E0,1.231040039E1
1.511141083E0,-1.284329224E-1,9.851014709E-1,1.203542221E1
1.521090083E0,-3.830534363E-1,8.786727905E-1,1.193288544E1
1.531038083E0,-5.218148804E-1,6.950047302E-1,1.196776291E1
1.540987083E0,-4.505630493E-1,5.180726624E-1,1.182945053E1
1.550936083E0,-3.430865479E-1,4.652325439E-1,1.152094208E1
1.560884083E0,-2.167492676E-1,5.490582275E-1,1.111289062E1
1.570833083E0,-6.975494385E-2,7.170089722E-1,1.045455963E1
1.580782083E0,1.209484863E-1,8.882528687E-1,9.765692139E0
1.590730083E0,2.028282166E-1,1.007554779E0,9.288185120E0
1.600679083E0,2.182461548E-1,1.031055908E0,9.087003479E0
1.610628083E0,2.173480225E-1,9.303153992E-1,9.032067719E0
1.620576083E0,1.844165039E-1,7.806266785E-1,8.973090363E0
1.630525083E0,1.992356873E-1,6.753955078E-1,8.955726471E0
1.640474083E0,2.438429260E-1,7.063810730E-1,8.881929932E0
1.650422083E0,3.216810608E-1,8.687933350E-1,8.680897980E0
1.660371083E0,3.623963928E-1,1.120270386E0,8.340805206E0
1.670320083E0,3.158432007E-1,1.443598022E0,7.906258850E0
1.680268083E0,2.833607483E-1,1.771865387E0,7.462731171E0
1.690217083E0,2.677931213E-1,2.094893646E0,7.157964935E0
1.700166083E0,2.257305908E-1,2.320923615E0,7.111561432E0
1.710114083E0,1.326242065E-1,2.448009338E0,7.275769958E0
1.720063083E0,-1.721420288E-2,2.461032257E0,7.489375763E0
1.730012083E0,-1.440005493E-1,2.384990387E0,7.658673706E0
1.739960083E0,-2.906954956E-1,2.238145752E0,7.761210480E0
1.749909083E0,-4.809498596E-1,2.118544464E0,7.835306396E0
1.759857708E0,-6.821315002E-1,2.032922516E0,7.917485504E0
1.769805708E0,-7.734416199E-1,1.995200958E0,8.018076324E0
1.779754708E0,-8.869056702E-1,2.070195007E0,8.074059906E0
1.789703708E0,-9.271719360E-1,2.173180847E0,8.232280884E0
1.799651708E0,-1.006057892E0,2.257904663E0,8.329129486E0
1.809600708E0,-1.031654663E0,2.308349762E0,8.458909607E0
1.819549708E0,-9.354048157E-1,2.354154510E0,8.581354980E0
1.829497708E0,-8.062234497E-1,2.402054901E0,8.516839142E0
1.839446708E0,-7.216493225E-1,2.489024048E0,8.427025909E0
1.849395708E0,-7.225474548E-1,2.611469421E0,8.381969604E0
1.859343708E0,-7.490423584E-1,2.700534210E0,8.432414703E0
1.869292708E0,-7.581733704E-1,2.747536469E0,8.576415253E0
1.879241708E0,-7.150630188E-1,2.760409698E0,8.728349304E0
1.889189708E0,-7.343728638E-1,2.782264252E0,8.813073120E0
1.899138708E0,-9.008267212E-1,2.803520050E0,8.920100555E0
1.909087708E0,-1.086740112E0,2.813549194E0,9.014853516E0
1.919035708E0,-1.155896301E0,2.832859039E0,9.147627411E0
1.928984708E0,-1.083147583E0,2.880460052E0,9.255852356E0
1.938933708E0,-8.996292114E-1,2.990181885E0,9.486971741E0
1.948881708E0,-6.933581543E-1,3.179089050E0,9.983489227E0
1.958830708E0,-4.252656555E-1,3.269201660E0,1.033780243E1
1.968779708E0,-1.474433899E-1,3.381617889E0,1.044632675E1
1.978727708E0,1.164578247E-1,3.465293884E0,1.036429733E1
1.988676708E0,2.016307068E-1,3.539389801E0,1.021341110E1
1.998625708E0,3.876937866E-2,3.601660309E0,1.007958939E1
2.008573708E0,-1.345701599E-1,3.609444122E0,9.902058563E0
2.018522708E0,-2.642005920E-1,3.628753967E0,9.798923035E0
2.028471708E0,-2.944377136E-1,3.557651825E0,9.811047821E0
2.038419708E0,-4.186793518E-1,3.401975555E0,1.002884491E1
2.048368708E0,-6.183641052E-1,3.168760529E0,1.044722488E1
2.058317708E0,-8.494834900E-1,2.975512390E0,1.087488556E1
2.068266708E0,-1.013242950E0,2.853216705E0,1.126183090E1
2.078214708E0,-9.644444275E-1,2.567311249E0,1.142214752E1
2.088163708E0,-9.120533752E-1,2.220781860E0,1.138951538E1
2.098111708E0,-1.047821045E0,1.867516479E0,1.149444717E1
2.108060708E0,-1.179846497E0,1.734143829E0,1.174113419E1
2.118009708E0,-1.219813385E0,1.642983398E0,1.179636932E1
2.127958708E0,-1.046473846E0,1.541644135E0,1.152468430E1
2.137906708E0,-7.643106079E-1,1.445244598E0,1.113624207E1
2.147855708E0,-4.296066284E-1,1.395697632E0,1.077175003E1
2.157804708E0,-2.345622253E-1,1.432670746E0,1.058463913E1
2.167752708E0,-2.097138977E-1,1.462907867E0,1.060439804E1
2.177701708E0,-2.445913696E-1,1.453477478E0,1.072055649E1
2.187650708E0,-3.134481812E-1,1.393601990E0,1.083372116E1
2.197598708E0,-3.848497009E-1,1.286125488E0,1.078866486E1
2.207547708E0,-4.522096252E-1,1.173260193E0,1.056428146E1
2.217496708E0,-4.863386536E-1,1.091829529E0,1.021251297E1
2.227444708E0,-3.556604004E-1,9.864486694E-1,9.668843536E0
2.237393708E0,-2.116598511E-1,8.521778870E-1,8.987909546E0
2.247342708E0,-1.484912109E-1,7.596702576E-1,8.309220886E0
2.257290708E0,-1.040336609E-1,8.161029053E-1,7.698790283E0
2.267239708E0,-1.417552185E-1,1.019978943E0,7.457641754E0
2.277188708E0,-2.047741699E-1,1.279389496E0,7.667355652E0
2.287136708E0,-1.425036621E-1,1.484463043E0,8.223598938E0
2.297085708E0,1.764830017E-1,1.559756470E0,9.024732971E0
2.307034708E0,5.245092773E-1,1.541344757E0,9.815538483E0
2.316982708E0,8.273295593E-1,1.485959930E0,1.042342438E1
2.326931708E0,1.033899994E0,1.424737244E0,1.072070618E1
