east_cell,north_cell,east_m,north_m,b_total_uT,b_mean_uT,sample_count,session_count,b_q25_uT,b_q75_uT,b_iqr_uT
28,49,0.298526296,-0.709242272,51.742873751,51.760521627,40,1,51.651961759,51.907158355,0.255196596
28,50,0.290364816,-0.553871465,51.929076764,51.911987832,38,1,51.828358866,52.006222837,0.177863971
28,51,0.281847313,-0.410764086,51.815777795,51.823574624,44,1,51.753087762,51.913047587,0.159959825
28,52,0.270123616,-0.257263802,51.661250418,51.675240647,44,1,51.496854467,51.814737545,0.317883079
28,53,0.262298349,-0.109456682,51.707120402,51.680702613,42,1,51.570647863,51.771732203,0.201084340
28,54,0.257893221,0.025511011,51.552002335,51.559438744,39,1,51.448079040,51.645263953,0.197184913
28,55,0.253047574,0.190974325,51.677796764,51.670411810,45,1,51.596611010,51.731137824,0.134526814
28,56,0.246186394,0.343050466,51.636985159,51.653694444,38,1,51.552448756,51.740945315,0.188496558
28,57,0.238032683,0.492287430,51.677037116,51.658377289,40,1,51.577737233,51.755952778,0.178215544
28,58,0.234540442,0.636031238,51.811421355,51.826590443,47,1,51.769999892,51.906595823,0.136595931
28,59,0.232928132,0.812280183,51.878669343,51.887439380,138,1,51.784800517,51.972528851,0.187728335
28,60,0.228962564,0.953590324,51.927585924,51.915557327,107,1,51.831493885,52.012300070,0.180806185
28,61,0.231338343,1.058509666,51.422433674,51.393612457,134,1,51.050819715,51.720182784,0.669363068
29,0,0.481697743,-8.076461797,52.280314180,52.364896345,5,1,52.265780834,52.423765279,0.157984445
29,1,0.481066846,-7.849714526,51.916640766,51.918134805,8,1,51.848707528,52.043794356,0.195086828
29,2,0.481588142,-7.819897024,52.154358393,52.171426844,9,1,52.093654271,52.309394838,0.215740567
29,5,0.476557079,-7.295195164,52.008600461,52.013159010,25,1,51.848250389,52.118033044,0.269782656
29,6,0.472790203,-7.165310338,52.035808485,52.002322027,35,1,51.870826114,52.109524917,0.238698803
29,7,0.469355164,-7.007710637,51.939327909,51.971481825,35,1,51.894735845,52.072685731,0.177949886
29,8,0.467410821,-6.856905992,52.000871460,51.987207487,44,1,51.944804150,52.025137579,0.080333429
29,9,0.465013605,-6.705048541,52.017639436,51.999149176,42,1,51.940042889,52.075343646,0.135300757
29,10,0.452084671,-6.555419521,52.154779713,52.141330418,45,1,52.063554439,52.207061355,0.143506917
29,11,0.445099647,-6.415252177,52.269769070,52.259144726,51,1,52.159432729,52.343226298,0.183793569
29,12,0.435882179,-6.267792758,52.251403755,52.249760969,49,1,52.180849358,52.328066490,0.147217132
29,13,0.429075070,-6.113175263,51.910713567,51.928870888,41,1,51.807582137,52.029220121,0.221637984
29,14,0.423557476,-5.954936725,51.927025765,51.951544262,41,1,51.863171233,52.038983472,0.175812239
29,15,0.417940636,-5.805706410,51.991558164,51.972491759,46,1,51.863386191,52.039255250,0.175869058
29,16,0.413983904,-5.663839610,52.007331729,51.996959775,49,1,51.937641413,52.086069451,0.148428038
29,17,0.407981319,-5.511422400,52.063986503,52.053845460,44,1,51.972384176,52.151396536,0.179012360
29,18,0.400324392,-5.364613791,51.995541172,51.979242847,39,1,51.879647395,52.102605482,0.222958087
29,19,0.393730652,-5.210221809,51.756831916,51.742731346,42,1,51.666249521,51.818819922,0.152570401
29,20,0.387266162,-5.050505022,51.681513499,51.696674105,39,1,51.619347825,51.761808595,0.142460770
29,21,0.386612540,-4.903184754,51.745477772,51.779254633,39,1,51.679878720,51.894383176,0.214504456
29,22,0.382212156,-4.759583993,52.052983824,52.046911993,41,1,51.963116995,52.137809491,0.174692497
29,23,0.374257378,-4.615171543,51.855334432,51.853736063,41,1,51.764382642,51.951171940,0.186789298
29,24,0.370500956,-4.461322465,51.986121200,51.968864789,47,1,51.847847282,52.058636597,0.210789315
29,25,0.367237937,-4.298456316,52.105213708,52.106227613,81,1,52.023713006,52.197924587,0.174211580
29,26,0.364520409,-4.169636239,51.956226405,51.958090534,54,1,51.878489292,52.055651945,0.177162653
29,27,0.360797584,-4.016206400,52.023933635,52.049702628,48,1,51.938683945,52.181079266,0.242395320
29,28,0.362713790,-3.858883211,52.112334310,52.098674402,52,1,52.002659572,52.201318550,0.198658978
29,29,0.361845752,-3.711617307,52.149117107,52.134546919,59,1,52.047116778,52.224561255,0.177444477
29,30,0.362198993,-3.558027860,51.806932559,51.832919227,46,1,51.735693262,51.910938031,0.175244769
29,31,0.363224788,-3.423987915,51.703986334,51.712883610,36,1,51.650448913,51.793308250,0.142859337
29,32,0.367305513,-3.268579094,51.708426551,51.718916500,41,1,51.637878004,51.778861531,0.140983528
29,33,0.373539087,-3.103821006,51.727113874,51.737459230,33,1,51.663592041,51.826708706,0.163116665
29,34,0.381494859,-2.957120635,51.742462440,51.745278573,35,1,51.678037766,51.798340886,0.120303120
29,35,0.385427233,-2.814129551,51.577046554,51.579676698,35,1,51.454129494,51.705737255,0.251607761
29,36,0.380051968,-2.664050621,51.645247633,51.630260886,34,1,51.552187150,51.702583734,0.150396584
29,37,0.376717855,-2.505444247,51.622764999,51.602993467,35,1,51.512450467,51.679024109,0.166573642
29,38,0.376823114,-2.355836507,51.701277099,51.708460082,33,1,51.627528110,51.795419573,0.167891463
29,39,0.371755498,-2.219552710,51.637515974,51.659619049,34,1,51.600044054,51.739250965,0.139206911
29,40,0.368210643,-2.069653302,51.706294094,51.729707821,37,1,51.654098266,51.803594956,0.149496690
29,41,0.360680681,-1.906671220,51.592978595,51.602550548,35,1,51.492949511,51.710022479,0.217072968
29,42,0.351154842,-1.746240467,51.739206937,51.733167870,44,1,51.635935382,51.804612044,0.168676662
29,43,0.345704540,-1.604577846,51.793983173,51.812066818,81,1,51.679240524,51.935375708,0.256135184
29,44,0.336295689,-1.467822703,52.071543047,52.071356591,57,1,52.007929002,52.149740610,0.141811607
29,45,0.336067641,-1.312495950,52.018772510,52.012135581,46,1,51.936028876,52.081923509,0.145894633
29,46,0.331934152,-1.232482758,51.891514434,51.891514434,1,1,51.891514434,51.891514434,0.000000000
30,0,0.485856047,-8.060491934,52.123546341,51.991061173,269,1,51.722832408,52.376879011,0.654046603
30,1,0.484789894,-7.933274211,52.127447470,52.123944012,34,1,52.029687923,52.200783879,0.171095956
30,2,0.485022361,-7.743061089,52.150750651,52.174559905,29,1,52.087949894,52.248104332,0.160154437
30,3,0.489201568,-7.601510124,52.134873537,52.120404253,40,1,52.058688830,52.180406430,0.121717600
30,4,0.489088606,-7.456575871,52.056716297,52.040656726,35,1,51.991424857,52.089418702,0.097993844
30,5,0.484971715,-7.363336965,52.013917802,52.012445033,8,1,51.966842157,52.044946717,0.078104560
32,51,0.929207412,-0.353470962,53.279061403,53.216355284,13,1,53.111112068,53.314154366,0.203042299
32,52,0.928931485,-0.225285518,53.346303249,53.353604233,27,1,53.301316543,53.408254424,0.106937881
32,53,0.921444691,-0.101914747,53.143221795,53.135981656,61,1,53.046139104,53.209603839,0.163464734
