"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.313199333E0,-1.732946320E0,3.387904816E0,9.550140381E0
1.323144333E0,-1.712588654E0,3.415597229E0,9.161847839E0
1.333088333E0,-1.580563202E0,3.431613922E0,8.660989380E0
1.343032333E0,-1.286724243E0,3.552861786E0,8.066725159E0
1.352977333E0,-8.997789001E-1,3.701502686E0,7.470814362E0
1.362921333E0,-5.340893555E-1,3.817661133E0,7.114854584E0
1.372865333E0,-2.234852600E-1,3.971840515E0,6.604715424E0
1.382810333E0,-3.891906738E-2,4.067790985E0,6.153403931E0
1.392754333E0,1.071771240E-1,4.126169586E0,5.883365479E0
1.402698333E0,2.149530029E-1,4.207600250E0,5.711822205E0
1.412642333E0,2.956352234E-1,4.266278229E0,5.691314850E0
1.422587333E0,3.031196594E-1,4.312981110E0,5.804479523E0
1.432531333E0,1.148112488E-1,4.327201538E0,6.013145599E0
1.442475333E0,-1.353186035E-1,4.362378387E0,6.378835144E0
1.452420333E0,-2.887495422E-1,4.397255859E0,6.907236328E0
1.462364333E0,-3.902384949E-1,4.416266327E0,7.445516968E0
1.472308333E0,-3.951782227E-1,4.466711426E0,8.005352783E0
1.482252333E0,-5.602848816E-1,4.377496948E0,8.659492493E0
1.492197333E0,-6.394702148E-1,4.273612976E0,9.349557495E0
1.502141333E0,-5.987548828E-1,4.167184296E0,1.005998016E1
1.512085333E0,-4.378395081E-1,4.064497833E0,1.059676392E1
1.522030333E0,-7.095245361E-2,4.058510284E0,1.091649902E1
1.531974333E0,2.478845215E-1,3.991449738E0,1.106558899E1
1.541918333E0,3.869453430E-1,3.836671600E0,1.095287338E1
1.551862833E0,5.888754272E-1,3.825145569E0,1.074091415E1
1.561807833E0,8.035290527E-1,3.829935608E0,1.055110886E1
1.571751833E0,9.735754395E-1,3.788471832E0,1.041100021E1
1.581695833E0,1.147663422E0,3.769461365E0,1.030112869E1
1.591640833E0,1.286574554E0,3.776796112E0,1.019814285E1
1.601584833E0,1.312770081E0,3.699706421E0,1.004605911E1
