"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.854564333E0,-2.302516997E-1,2.144793123E-1,5.233402848E-1
2.864508333E0,-2.546443939E-1,1.414184272E-1,5.786067843E-1
2.874452333E0,-2.864400148E-1,2.183464170E-2,6.027370691E-1
2.884397333E0,-3.019268513E-1,-1.288030744E-1,5.760114193E-1
2.894341333E0,-3.009448647E-1,-2.276380658E-1,5.171083808E-1
2.904285333E0,-3.028743267E-1,-2.216057330E-1,4.531011581E-1
2.914229333E0,-3.229953647E-1,-1.305759698E-1,3.983246982E-1
2.924174333E0,-3.612764478E-1,1.815412007E-2,3.504751325E-1
2.934118333E0,-3.998688459E-1,2.066092491E-1,3.007256985E-1
2.944062333E0,-4.299322069E-1,3.851664662E-1,2.548202574E-1
2.954007333E0,-4.249340296E-1,5.034820437E-1,2.427115291E-1
2.963951333E0,-3.789907694E-1,5.502501130E-1,2.631861866E-1
2.973895333E0,-2.766908109E-1,5.746177435E-1,3.126293123E-1
2.983839333E0,-9.479182959E-2,5.141476989E-1,3.744628727E-1
2.993784333E0,1.192711592E-1,4.179624319E-1,4.184911549E-1
3.003728333E0,3.739644289E-1,2.876332104E-1,4.917277992E-1
3.013672333E0,5.991514921E-1,1.851258278E-1,5.815787315E-1
3.023616333E0,7.213804722E-1,1.578121781E-1,6.408225894E-1
3.033561333E0,7.811495066E-1,1.413846463E-1,6.810433865E-1
3.043505333E0,8.173394799E-1,7.929437608E-2,7.099072933E-1
3.053449333E0,8.655252457E-1,-1.442320645E-4,7.145391107E-1
3.063394333E0,9.429643750E-1,-9.702310711E-2,6.895170808E-1
3.073338333E0,1.026533008E0,-1.990020275E-1,6.413348317E-1
3.083282333E0,1.089330435E0,-2.921908200E-1,5.853344202E-1
3.093226333E0,1.124332309E0,-3.443713188E-1,5.311141610E-1
3.103171333E0,1.120546937E0,-3.461742997E-1,4.839775264E-1
3.113115333E0,1.076367378E0,-2.963679135E-1,4.450806677E-1
3.123059333E0,9.605458975E-1,-2.011231631E-1,4.122250080E-1
3.133004333E0,7.690068483E-1,-8.226020634E-2,3.905956149E-1
3.142948333E0,5.169131160E-1,2.978457324E-2,4.051609635E-1
3.152892333E0,2.127939463E-1,1.157403514E-1,4.406993687E-1
3.162836333E0,-1.255974323E-1,1.426992714E-1,4.793561995E-1
3.172781333E0,-4.635490775E-1,8.332232386E-2,5.044339895E-1
3.182725333E0,-7.294595838E-1,-2.426991984E-2,4.917176366E-1
3.192669333E0,-9.044103026E-1,-1.016590074E-1,4.501664042E-1
3.202614333E0,-9.858537316E-1,-1.317625940E-1,3.925608993E-1
3.212558333E0,-9.923232198E-1,-1.204571277E-1,3.486715257E-1
3.222502333E0,-9.471487999E-1,-1.007998064E-1,3.113151193E-1
3.232446333E0,-8.693554997E-1,-8.680716157E-2,2.632329464E-1
3.242391333E0,-7.696017027E-1,-5.389741063E-2,2.145913839E-1
3.252335333E0,-6.703497767E-1,1.689019054E-2,1.690662354E-1
3.262279333E0,-5.760198236E-1,1.069761440E-1,1.456562430E-1
3.272223333E0,-4.798597395E-1,2.028025389E-1,1.392167211E-1
3.282168333E0,-3.929988742E-1,2.863621414E-1,1.385714412E-1
3.292112333E0,-3.149443269E-1,3.125466704E-1,1.259571314E-1
3.302056333E0,-2.534415424E-1,2.931119800E-1,9.511452168E-2
3.312001333E0,-2.025401443E-1,2.418911010E-1,5.321713910E-2
3.321945333E0,-1.621285379E-1,1.682994366E-1,1.812786050E-2
3.331889333E0,-1.154403314E-1,8.176704496E-2,-3.030624241E-3
