"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.501171125E0,1.095432490E-1,-3.332531750E-1,-5.183616281E-1
1.511121125E0,7.196445763E-2,-3.585574627E-1,-5.317246318E-1
1.521070125E0,5.686833337E-2,-3.257039189E-1,-5.284148455E-1
1.531019125E0,6.012388691E-2,-2.424411923E-1,-5.085583329E-1
1.540968125E0,7.023617625E-2,-1.362543106E-1,-4.798244536E-1
1.550917125E0,6.808605790E-2,-6.027054042E-2,-4.582253098E-1
1.560866125E0,4.244541377E-2,-3.553163633E-2,-4.474235475E-1
1.570816125E0,1.060139854E-2,-1.033314038E-2,-4.389847219E-1
1.580765125E0,-1.528159715E-2,1.004217193E-2,-4.175936878E-1
1.590714125E0,-3.638157248E-2,5.203471985E-3,-3.877765536E-1
1.600663125E0,-4.462378845E-2,-3.502197564E-2,-3.418809772E-1
1.610612125E0,-3.614788875E-2,-8.129754663E-2,-2.878927290E-1
1.620562125E0,-1.964268275E-2,-1.004190445E-1,-2.323541194E-1
1.630511125E0,-9.295789525E-3,-1.057017744E-1,-1.800583750E-1
1.640460125E0,-2.373169176E-3,-9.277532250E-2,-1.304860264E-1
1.650409125E0,3.467375645E-4,-4.282179102E-2,-7.895097136E-2
1.660358125E0,3.440057859E-2,2.383313328E-2,-4.739517346E-2
1.670308125E0,8.890565485E-2,1.323975027E-1,-3.079545870E-2
1.680257125E0,1.338126808E-1,2.049239129E-1,-3.290015459E-2
1.690206125E0,1.527211964E-1,2.112133801E-1,-4.589565843E-2
1.700155125E0,1.613394469E-1,1.720768958E-1,-6.077660620E-2
1.710104125E0,1.591177881E-1,8.070864528E-2,-6.921445578E-2
1.720054125E0,1.552082598E-1,-3.380434960E-2,-6.350490451E-2
1.730003125E0,1.355091333E-1,-1.318640709E-1,-3.423250094E-2
1.739952125E0,1.034353450E-1,-2.344548851E-1,-2.190412953E-3
1.749901125E0,8.443494141E-2,-3.028820157E-1,3.151462972E-2
1.759850125E0,9.684899449E-2,-2.530335188E-1,6.920368969E-2
1.769800125E0,1.325338930E-1,-1.196708828E-1,1.183503047E-1
1.779749125E0,1.709569097E-1,3.596398234E-2,1.825183779E-1
1.789698125E0,2.218895406E-1,1.848769635E-1,2.669028044E-1
1.799647125E0,2.875779867E-1,3.331495225E-1,3.570220470E-1
1.809596125E0,3.478253484E-1,4.081856012E-1,4.300888479E-1
1.819546125E0,3.853154778E-1,4.130921960E-1,4.791096449E-1
1.829495125E0,4.013306797E-1,3.573372364E-1,5.134973526E-1
1.839444125E0,3.924096227E-1,2.499479353E-1,5.173051953E-1
1.849393125E0,3.676547110E-1,1.310341507E-1,4.889612198E-1
1.859342125E0,3.384528756E-1,3.002951294E-2,4.337666631E-1
1.869291875E0,3.008029461E-1,-5.151265115E-2,3.538355827E-1
1.879240875E0,2.533347607E-1,-8.212861419E-2,2.711966336E-1
1.889189875E0,2.020317465E-1,-5.420665815E-2,2.062891424E-1
1.899138875E0,1.572224647E-1,1.873306371E-2,1.706397980E-1
1.909087875E0,1.141346619E-1,1.288727075E-1,1.583914310E-1
1.919037875E0,7.359176129E-2,2.608264685E-1,1.587887704E-1
1.928986875E0,1.312300656E-2,3.559525609E-1,1.782933027E-1
1.938935875E0,-6.803149730E-2,3.646520674E-1,1.802416742E-1
1.948884875E0,-1.575059891E-1,2.793666422E-1,1.605044156E-1
1.958833875E0,-2.385598272E-1,1.407597512E-1,1.429560483E-1
1.968783875E0,-2.728151679E-1,2.043659054E-2,1.543726921E-1
1.978732875E0,-2.515940368E-1,-4.975794628E-2,1.947725713E-1
1.988681875E0,-1.763463616E-1,-8.994630724E-2,2.387080342E-1
1.998630875E0,-6.372180581E-2,-8.325618505E-2,2.865165472E-1
2.008579875E0,5.968499184E-2,-4.177502170E-2,3.317610323E-1
2.018528875E0,1.751298159E-1,2.085214108E-2,3.846676648E-1
2.028478875E0,2.638761103E-1,1.295875311E-1,4.444558024E-1
2.038427875E0,2.947640121E-1,1.845908612E-1,4.722807705E-1
2.048376875E0,2.488756776E-1,1.430278569E-1,4.691125154E-1
2.058325875E0,1.519603282E-1,4.567626119E-2,4.639366567E-1
2.068275875E0,2.568632364E-2,-7.649439573E-2,4.505784810E-1
2.078224875E0,-1.059262976E-1,-2.160384506E-1,4.316745698E-1
2.088173875E0,-2.257775962E-1,-3.403026164E-1,3.998388052E-1
2.098122875E0,-3.208790720E-1,-4.345465600E-1,3.500318229E-1
2.108071875E0,-3.904592097E-1,-4.843198955E-1,2.840541899E-1
2.118021875E0,-4.304417968E-1,-4.632646739E-1,2.122918516E-1
2.127970875E0,-4.345240891E-1,-4.126884043E-1,1.350425482E-1
2.137919875E0,-3.853115439E-1,-3.355829716E-1,5.990917236E-2
2.147868875E0,-3.131722212E-1,-2.093560249E-1,1.365097333E-2
2.157817875E0,-2.420216054E-1,-1.100419611E-1,-7.497721352E-3
2.167766875E0,-1.811042130E-1,-4.746689647E-2,-1.180109102E-3
2.177716875E0,-1.359463185E-1,-1.833856851E-2,1.950892434E-2
2.187665875E0,-1.051912159E-1,-1.968333684E-2,5.692962557E-2
2.197614875E0,-9.043037891E-2,-2.568051033E-2,9.946137667E-2
2.207563875E0,-9.956804663E-2,-2.996896021E-2,1.533569396E-1
2.217512875E0,-1.213359237E-1,-3.994197026E-2,2.022081017E-1
2.227462875E0,-1.349494755E-1,-4.718070850E-2,2.361713946E-1
2.237411875E0,-1.346088648E-1,-8.831186220E-3,2.560958266E-1
2.247360875E0,-1.277058423E-1,5.793555826E-2,2.494340986E-1
2.257309875E0,-1.231981739E-1,9.740334004E-2,2.195193470E-1
2.267259875E0,-1.082567126E-1,1.419863254E-1,1.754490435E-1
2.277208875E0,-9.147693217E-2,1.924689263E-1,1.270511448E-1
2.287157875E0,-8.138181269E-2,2.162771970E-1,8.368539810E-2
2.297106875E0,-7.769253850E-2,1.781508476E-1,5.155968294E-2
2.307055875E0,-5.473822355E-2,9.839476645E-2,3.121366724E-2
2.317005875E0,-9.761459660E-5,3.122504801E-2,2.987995371E-2
2.326954875E0,6.652926654E-2,-3.717839345E-2,5.192168802E-2
2.336903875E0,1.268535852E-1,-1.097953394E-1,8.161033690E-2
2.346852875E0,1.763787866E-1,-1.739493757E-1,1.125704125E-1
2.356801875E0,2.044583559E-1,-2.163761854E-1,1.280476451E-1
2.366751875E0,2.096205205E-1,-2.330896258E-1,1.237507388E-1
2.376700875E0,1.823161989E-1,-2.392167598E-1,1.188915297E-1
2.386649875E0,1.372489780E-1,-2.464610338E-1,1.206903681E-1
2.396598875E0,9.121224284E-2,-2.322496176E-1,1.158183813E-1
2.406547875E0,3.078256920E-2,-1.975477785E-1,9.456382692E-2
2.416497875E0,-4.803048819E-2,-2.213985175E-1,4.614915326E-2
2.426446875E0,-1.473086774E-1,-3.255325556E-1,-2.290440351E-2
2.436395875E0,-2.275462598E-1,-4.493255913E-1,-9.814136475E-2
2.446344875E0,-2.745226622E-1,-5.260139704E-1,-1.524862349E-1
2.456293875E0,-3.037812412E-1,-5.543404222E-1,-1.883126795E-1
2.466243875E0,-3.192233741E-1,-5.253047943E-1,-1.828837842E-1
2.476192875E0,-3.115577102E-1,-4.169594347E-1,-1.400787979E-1
2.486141875E0,-2.978486121E-1,-2.673467994E-1,-8.739604801E-2
2.496090875E0,-2.883155644E-1,-1.122973114E-1,-4.928754270E-2
2.506039875E0,-2.955197394E-1,2.900337055E-2,-3.973528743E-2
2.515989875E0,-3.176048100E-1,1.225682050E-1,-5.241113529E-2
2.525938875E0,-3.600497246E-1,1.940561384E-1,-7.722758502E-2
2.535887875E0,-3.807033300E-1,2.414468229E-1,-1.041050106E-1
2.545836875E0,-3.695107698E-1,2.766701281E-1,-1.306650490E-1
2.555785875E0,-3.220359385E-1,2.956102788E-1,-1.591092050E-1
2.565735875E0,-2.583406568E-1,2.898873091E-1,-1.987444311E-1
2.575684875E0,-1.888159066E-1,2.284127772E-1,-2.400721610E-1
2.585633875E0,-1.272729486E-1,1.378638595E-1,-2.798952162E-1
2.595582875E0,-8.336966485E-2,3.887816146E-2,-3.052037656E-1
2.605532875E0,-5.632617325E-2,-6.832051277E-2,-3.226047456E-1
2.615481875E0,-4.227427021E-2,-1.583068520E-1,-3.324286044E-1
2.625430875E0,-4.002289474E-2,-2.073929608E-1,-3.204445541E-1
2.635379875E0,-4.203997180E-2,-2.176032513E-1,-2.972539961E-1
2.645328875E0,-4.382140189E-2,-1.994103193E-1,-2.642694116E-1
2.655278875E0,-2.751539834E-2,-1.530912817E-1,-2.348606735E-1
2.665227875E0,-1.478351187E-2,-7.889343798E-2,-2.125112861E-1
2.675176875E0,-6.424914114E-3,1.948186196E-2,-2.090193480E-1
2.685125875E0,-1.232283469E-2,1.149027720E-1,-2.179344594E-1
2.695074875E0,-3.500657901E-2,1.803467572E-1,-2.416259348E-1
2.705024875E0,-5.467977002E-2,2.268437296E-1,-2.712505162E-1
2.714973875E0,-6.403678656E-2,2.275678366E-1,-2.870800793E-1
2.724922875E0,-4.240154475E-2,2.063556910E-1,-2.943505049E-1
2.734871875E0,1.191602182E-2,1.947403103E-1,-2.803489268E-1
2.744821875E0,7.117491961E-2,1.693233252E-1,-2.513919473E-1
2.754770875E0,1.099263057E-1,1.235821992E-1,-2.077421993E-1
2.764719875E0,1.195477769E-1,7.043322921E-2,-1.553865820E-1
2.774668875E0,1.172848865E-1,3.007808700E-2,-1.021329612E-1
2.784617875E0,9.781965613E-2,1.966443378E-3,-6.133927032E-2
2.794567875E0,7.452685386E-2,-8.427874185E-3,-3.384905681E-2
2.804516875E0,4.786130041E-2,-8.549965918E-3,-2.668528073E-2
2.814465875E0,3.082745336E-2,2.302154340E-2,-1.987131685E-2
2.824414875E0,1.050429232E-2,7.133429497E-2,-1.694074832E-2
2.834363875E0,-2.597127808E-3,8.700700104E-2,-9.709199890E-3
2.844313875E0,-1.334429160E-2,6.592769921E-2,-5.586101324E-4
2.854262875E0,-6.353493314E-3,5.404866487E-2,8.867383003E-3
2.864211875E0,2.382527851E-2,8.974004537E-2,2.036388218E-2
2.874161500E0,6.551093608E-2,1.331208050E-1,3.893756866E-2
2.884111500E0,1.173243374E-1,1.808459908E-1,7.596509904E-2
2.894060500E0,1.681704670E-1,2.195747346E-1,1.319431365E-1
